comments,ratings
thấy bạn bè giới thiệu quán nhậu này được lắm tìm đến ăn thử thì bị nghiền luôn. quán có không gian bình thường rộng nhưng rất sạch sẽ  thoáng mát  cách trang trí đồ khá bắt mắt. món ăn mình đánh giá 8 5/10. cách phục vụ chu đáo  nhiệt tình mang đến cảm giác dễ chịu (8/10). đồ ăn  nước uống giá thành vừa phải. nói chung quán là điểm nhậu hợp lý dành cho mọi người. à quên quán có món cơm lam gà sa lửa và thỏ nướng muối ớt rất tuyệt (10/10). sẽ ủng hộ quán dài dài...,9
"phần dứoi hình có giá 550? nhìn xem có đáng và ngon miệng không? chính xác là 5 con tôm nhỏ xíu. 
bán hàng cũng không có muỗng đũa gì hết  nhìn phần ăn chỉ muốn vứt đi thôi.
thà không bán chứ đừng bán như vậy nữa nhé",1
"bánh xèo ở đây rất ngon  nước chấm ăn kèm với bánh xèo rất đặc biệt có thể nói là lần đầu tiên mình ăn ở một quán có các loại nước chấm này.
bánh căn khá ngon với cả bánh bèo cũng ngon nữa. chả cuốn có vị lạ vì có bánh tráng chiên giòn bỏ vào cuốn nên ăn khá lạ miệng. 
lần nào tới quán đều hài lòng với món ăn và phục vụ ở đây cả. tối nay chắc lại ghé quán nữa!!!",10
"làm về ghé qua mua tô bún mọc ăn vì thấy treo bảng giới thiệu là 350/tô. 

tấp vào mua về ăn thì có 3 loại  tô nhỏ 350  tô vừa 40  tô đặc biệt 450 (có giò). mang về thêm 20 tiền hộp nữa. mình mua tô đặc biệt & tô vừa. ăn cũng khá  nội dung nhiều  chả các loại ăn ngon  giò heo thì hầm vừa tới bình thường mềm hoặc cứng. 

bình thường mì quảng ở đây ăn cũng khá ngon  giá cũng  được   nội dung vừa đủ  nước hơi ít lần nào cũng phải xin thêm

nhân viên phục vụ hơi lâu  xuất bill sai tiền cho mình nữa chớ",8
yaourt khoai môn rất ngon  quán phong cảnh đẹp  giá hợp lý  sẽ ủng hộ,10
"tiệm thích hợp cho mua take away   ngay mặt tiền dễ kiếm
nhân viên nhanh nhẹn 
tiệm lâu đời nổi tiếng món sữa bắp 15 không thơm ngon béo béo  đi quanh khu này lúc nào củng ghé mua
mua bánh mì ăn thử thì thấy bánh mì ít thịt   pate vừa phải .  được  pate thơm nha mà tận 20 thấy mua bánh mì lương phan ăn no hơn
thêm góp ý là không có khăn ướt tăm như tiệm khác 
sẽ ghé dài dài mua sữa bắp",8
trái cây tô ở đây lần đầu mình ăn thì nhiều loại lắm  đủ loại  được nguyên hủ sữa chua nữa mà chỉ 250 thôi. nhưng gần đây mình đi ăn thì tô trái cây đã không còn nhiều như lúc đầu ăn nữa  trái cây cũng không đủ loại  thêm được ít thạch nhưng không chất lượng như trước  không có nguyên hủ sữa chua mà chỉ có chút xíu thôi.,4
"biết đến quán do được bạn mình giới thiệu   ăn một lần cảm thấy ngon và mình hay ăn ở quán cho tới giờ luôn . cảm thấy sườn ở đây được ướp và nướng rất ngon   đậm đà mà miếng sườn lại bự nữa . bì   chả của quán ăn cũng ngon . nước mắm pha ngọt ngọt mặn mặn hợp vị lắm . một dĩa cơm khá nhiều cơm   nhiều đồ ăn nốt . 
dù giá cả cao   đắt hơn những nơi khác nhưng mình nghĩ rất đáng tiền bỏ ra cho một dĩa cơm chất lượng như vậy .",10
bún bò là món tôi rất hay ăn ở quán bún bò huế xưa này  nằm ngay số 169*** q.10 cũng có 1 chi nhánh của bún bò huế xưa  rất dễ tìm  quán có không gian rộng rãi  nhân viên chu đáo mà bún thì bao ngon  bao rẻ luôn nhé  ăn 1 lần xong là nghiện luôn đây,8
vé 1390 gồm buffet nướng  nước uống có các loại nước ngọt và trà chanh  còn buffet cả những món khác có trên line và rau trái cây nữa. ăn ở đây rất đáng đồng tiền  ngon rẻ nhiều. chắn chắn sẽ trở lại,10
"milo đá bào với lớp topping nhìn là mê 👌
_
nghe danh đã lâu nay mình mới có dịp ghé qua tận quán để thử )) vị trí cũng dễ tìm lắm luôn  nằm ở mặt tiền đg ltt kế bên là nhà hàng tiệc cưới mỹ mỹ nè. mình thấy mọi ngườiguoi ghé đến đây mua về là nhiều và các kiểu . còn ngồi ở lại như mình hôm đó cũng có sự thích thú riêng vì hôm đó trời cũng khá thoáng. điểm trừ nhẹ cho chổ ngồi lại là hơi có muỗi và trước mặt là chổ đổ rác :((((

nhân viên ở đây cũng nhiệt tình giới thiệu cho mình các món trong menu. trong menu cũng có nhiều món với các thể loại mix khác nhau cho bạn chọn lựa. giá cả tầm 20-350 cho 2 size khác nhau nè.

trên hình là đá bào cacao milo dầm và đá bào kem cheese tc đường đen cho ai mê sự béo ngậy và topping để nhai như mình ))) ly đá bào cacao thì nhìn đơn giản tổng thể hơn  nhưng sẽ đậm vị cacao hơn. khi hoà trộn điều các thứ topping và đá trong ly thì cị sẽ thanh hơn nhờ có lớp sữa vinamilk bên dưới. còn ly đá bào kem cheese trchau đường đen của mình cũng có topping là bánh xốp chocolates  bánh côkie kèm them là lớp kem cheese rất đặc sệt và trân châu đường đen cực chất lượng luôn. à ở đây khác chỗ khác là có cho thêm sữa vinamilk phía dưới ly để uống luôn á. trân châu đường đen theo mình đánh gí ở đây bình thường ngọt gắt cổ  trân châu bữa đó hơi bị nở nên ăn hơi mềm chứ không dai nhé

nói tóm lại mình thấy chổ này hơi bị lý tưởng để bạn bè kéo nhau ra ngồi nhâm nhi lu đá bào có vị milo đậm đà còn lại thơm nửa chứ. giá cả hợp lý  phải chăng mà mọi thứ trong ly bạn nhận được lại ổn và chất lượng nữa 👌

bão bão - đá bào milo dằm
🏠98b***quận 10

đây là ý kiến cá nhân của mình  bạn hãy đến và trải nghiệm rồi hashtag #bigmoutheatmore chia sẻ cùng mình với nhé 😝",8
"od 2 cái ai cũng khen ngon 
1 không trứng 1 có trứng 
ko trứng mau ngán bông lan mềm ngon 
có trứng quá  được 
ăn gần nữa cái nói chung quá tuyệt 
thêm chị chủ cho mã giảm 30 
duyệtt sẽ ủng hộ dài",10
hương vị sầu riêng tuyệt vời  trời nóng ăn mát lạnh luôn,10
ngon và sạch sẽ thật tuyệt vời,10
"1 bịch nhỏ xíu
ăn như chơi đồ hàng vậy nhưng mà cũng khá ngon
hơi nhiều dầu hay mỡ gì đó mà nó nhớt nhớt tốn khăn giấy lau trước khi ăn",8
"cá hồi đồ sống ở quán   được qua chọn lựa nên vị rất tươi và ngon. mình ăn qua cá hồi ở nhiều quán sushi nhật nhưng mà cảm thấy ở nhân vị béo nhất 
giá thì hơi đắt tí 
được tặng tráng miệng là kem chanh . ngon lắm luôn hịiihi",9
vừa làm xong 1 ổ thấy ưng bụng quá nên lên đây nhận xét liền 1 ổ đầy đủ là 350 chất lượng miễn bàn quá xá ư là ngon bao bì đẹp vừa bước vào tiệm là nghe mùi thơm kích thích liền tuy là lần đầu nhưng mình cực kì thích sẽ còn trở lại dài dài à không gian bên trong của quán mình thấy tương đối rộng trang trí cũng đẹp nữa nhân viên thân thiện lắm.,10
bánh tráng ở đây rất ngon mình ghé được mấy lần rồi lần nào mua về cũng chục bịch. giá thì chỉ 50 rẻ cực kì so với mấy cái bánh tráng dầu bán sỉ ở chợ kim biên nhiều ) cô chú thân thiện  dễ thương. nhưng gần đó còn có 2 ông bà già ra bán cạnh tranh hay sao á bữa chỉ chỗ này cho nhỏ bạn  nó mua nhầm của 2 ông bà già kia thì thực sự không ngon bằng nhìn dầu và tôm có vẻ cũ. à mình có hỏi thì địa chỉ đúng là 243/2c phan đình phùng còn 243/1 chỉ là chỗ đứng tạm với là biển số nhà cũ thôi. mấy bạn coi chừng nhầm nghen. ),10
"mẹ mình sáng đi học lâu lâu chở mình ghé qua ăn! hồi trước mình ăn mê lắm  hủ tiếu trộn ngon  nước lèo ngọt  nước chấm ngon! còn dịp gần đây trở lại ăn kêu tô hủ tiếu khô thập cẩm  nói thiệt muốn trả lại luôn  trụng mà nó mềm như miến luôn  hủ tiếu dai mà nhão nhoẹt trong khi tô em mình thì nó trụng rất vừa! mẹ mình gọi dĩa giá trụng 3 lần luôn  nhân viên nghe mà làm lơ không làm  mẹ 
 mình kêu thêm 2 lần thì mới nhìn 1 cái rồi 2 thằng thì thầm tiếng miên với nhau cái mang ra đặt cái cạch xuống.. quán này có đông gì đâu  vắng toe  cả đống nhân viên mà làm ăn không ra gì! kiểu như không cần khách vậy đó...! nhân viên toàn là nam mà được có mỗi nhân viên dắt xe cho khách! hủ tiếu ngon nhưng cách phục vụ cũng quyết định sự thành công của món ăn mà !",4
lâu lâu thèm sữa bắp sẵn có mã giảm nên mua luôn  sữa bắp thơm ngọt vừa và béo  mua thêm ổ bánh mì gà bơ béo và pate rất thơm nha! mình thích ăn béo nên rất thích bơ ở đây.,10
ghen tị với mấy bạn nhà gần gần đây ghê món này ăn sáng là số dzách luôn á.hộp đầy ụ nha cơm để không cứng hộp da gà với xá xíu nêm nếm vừa miệng mà thơm gì đâu luôn.một hộp bình thường có 20 thui mà mình bị ghiền da gà quá nên mua thêm 10 hầu hết ai mua cũng mua thêm 50 10 da gà hết á tại quá ngon.ít có chỗ nào mà mình tâm đắt như chỗ này.chỉ ước sáng nào cũng có hộp cơm da gà như vậy để ăn mà nhà xa quá hic,10
st dưa gan của quán rất ngon  mình rất thích món này của quán dung,10
cơm ở đây có nấu với đậu  ăn khá ngon và đỡ ngán,10
lúc trước làm gần bên này hay đi ăn với chị quản lý  chè cũng bình thường không mấy gì đặc biệt cho lắm. chắc được cái chảnh  hỏi có giao hàng chè không  10 ly mới giao hàng  mình hỏi 9 ly giao hàng không  không luôn  mà chỗ mình làm cách đó chưa được 1 km. nói chung sẽ không trở lại vì còn nhiều lựa chọn!,1
"nhóm mình đi hơn 40 người đến ăn trưa hôm nay ở lầu trên  món ăn  được  nhưng có các bạn phục vụ làm mất điểm của quán quá.
- xin thêm nước tương thì bàn mình 8 người  đưa chén đến tận tay bạn phục vụ thì chỉ rót 2 chén xong đặt chai nước tương xuống cái rầm  để mặc mấy người bàn mình đang giơ chén ra  mặt bạn nữ đó thì lạnh lùng bỏ đi không nói 1 lời 
- bưng món ra toàn đặt mạnh xuống bàn  dọn món đi cũng làm rất mạnh bạo như dằn mặt khách  nói năng thì cộc lốc. nhất là bưng bình trà nóng đi từ sau lưng nhưng không hề báo khách cẩn thận.
- lúc mình ghi thông tin xuất hóa đơn xong đưa lại bạn đó thì đi ngang đưa tay ra lấy  mặt không trở lại nhìn nữa mà đi nước một  chỉ đưa tay ra như tiện thể lấy đi thôi.
nói chung ăn cũng tương đối ngon mà phục vụ thì ngán ngẩm. không trở lại  không thiếu quán ngon mà phục vụ tốt hơn.",1
bán dơ còn vô trách nhiệm,1
"ôi...sau bao ngày giản cách  hôm nay mình có cơ hội trở lại quán quen mọi người ạ. mình thèm ăn bò bittet và mì ý ở đây quá ùi ahihi. mình gọi 1 phần bò bittet sốt tiêu  1 mì ý phủ phô mai và 1 ly soda phúc bồn tử 🤗 nhiu đây chắc đủ no ùi hén 😊
mlem mlem...chẹp chẹp...  ôi!!! hương vị quen thuộc này  vẫn ngon như ngày nào  thịt bò mềm ngon không dai  chấm thêm tí sốt cho đậm đà nè  mì ý phủ phômai béo ngậy ăn cho đã cái cơn thèm😋 hihi",8
bánh có vị ngọt vừa thom  ăn không ngấy  rất ngon nha mọi người,10
món ngon  phục vụ chu đáo và nhiệt tình  gọi đến là auto cười 😂😂😂. món mang về gói rất cẩn thận. sẽ trở lại thường xuyên hơn ❤️❤️❤️,10
món ăn ngon tuyệt vời,10
bữa ck mình dắt mình đi ăn ở đây  bánh canh ngon  giò cũng ngon  chỉ có chỗ ngồi hơi chật,8
"ôi ở đây lúc nào cũng đông khách  gửi xe xong phải chờ mới có chỗ ngồi.
ngồi xong đợi đến lượt mình  đặt  hơi lâu   đặt  2-3 lần  1 lúc sau mới có ăn.

nhưng bù lại  đồ ăn ở đây ngon
- cháo nóng hổi  tô nhỏ 30  lòng nhiều
- dĩa lòng nhỏ 40: nhìn ít  vậy mà 2 người ăn không hết. ấn tượng vói món dồi trường chiên  thơm mùi xả. 
- chén nướ mấm  vắt chút chanh  miếng ớt  vài sợi gừng  tuyệt vời.

chỗ gửi xe trong hẻm  trong nhà  ngoài đường  có chú giữ xe nên an tâm.",8
the loop này nằm trong khu thảo điền nên có không gian thoáng  rộng  đẹp và cực kỳ ấm cúng. chỗ này có trưng bày rất nhiều loại cà phê cao cấp đến từ nhiều nước. ngoài ra mình đi vòng vòng tham quan quán thì còn thấy quán có khá nhiều loại sốt ăn kèm thức ăn  thấy cũng lạ lạ  chủ yếu là sản phẩm nhập khẩu. ngoài món chính thì quán còn nhiều món dessert nhìn trong tủ trưng bày hấp dẫn lắm. quán này còn có dạy nấu ăn theo chủ đề nữa. mình gọi thử burger ramen do thấy cũng lạ  chưa ăn nên gọi thử cho biết. burger thay vì bằng bột bánh thì thay thế bằng mì ramen  còn nhân bên trong thì có bò  tôm  heo tùy theo mình chọn. ăn vị cũng ngon lắm  salad tươi. mình cực kỳ thích dessert ở đây  pana cotta dừa rất ngon kỳ ngon  làm bằng nước dừa và nước cốt dừa luôn  có thêm nước sốt ớt nên vị lạ mà ăn đã lắm. quán này mà hẹn họ thì quá tuyệt luôn.,10
"quán nằm trên 1 con đường toàn là xiên que và chè thái. cạnh tranh với nhiều chỗ khác. mở sau ý phương nhưng cũng khá lâu rồi.
giá 1 ly là 180  các món ăn vặt 20 1 dĩa há cảo. nói chung là chấp nhận được.
theo mình là chè rất ngọt  lúc nào đi ăn  ăn được nửa ly phải xin thêm ly đá bỏ thêm vào ăn tiếp. các trái cây trong đó không tươi lắm  nhất là mít. hột lựu đóng cục. nói chung ăn 1 ly ngán. dở hơn bên ý phương chút chút. há cảo hấp được cái 1 cái rất to  vỏ mỏng  nhiều thịt  ăn dc. vệ sinh thì nói chung ăn ở mấy quán bình dân thế này thì phải chấp nhận thôi. mình không kén.
phục vụ mình thấy nhanh nhẹn nhưng nhìn mặt hem được cảm tình lắm. có giữ xe máy miễn phí.
buổi tối có thể ngồi ngoài lề đường ngắm đường phố  cũng thú vị lắm.",7
"thương hiệu mì chú tắc kỳ đồng đã gần như nổi tiếng khắp hcm  mình ăn đây từ bé khoảng 20 năm rồi  vẫn trở lại đây vì hương vị thuốc bắc  mình chỉ ăn mì vịt tiềm thôi.
mì vịt ở đây tách riêng 2 phần mì (tô) và đùi vịt (cà men tẩm riêng)  hương vị mì trứng của quán tự làm nên ăn ngon hơn bình thường chút. nhưng nhân viên ở đây phục vụ có phần hơi chậm chạp và chảnh. nếu bạn bỏ qua phần phục vụ thì đây là điểm thưởng thức món mì lý tưởng. giá cả hơi đắt hơn so với mặt bằng chung của các quán khác. nhưng nói chung tiền nào của đấy  thương hiệu vẫn là thương hiệu.",8
khó chịu nhất là khi đến nhận nước   mặc dù cầm theo thẻ rung vẫn không cho nhận   do hoá đơn bị ướt . mình thấy bên. highland thẻ rung đến nhân viên vẫn vui vẻ cho nhận   không đòi hỏi nhiều như bên pl,4
"mấy món thái ở đây ngon mà hơi ít nhỉ? muốn ăn no là mỗi ngừoi phải gọi từ 2 đĩa ấy. thức ăn trang trí đẹp mắt. phục vụ khá chuyên nghiệp  nhanh nhẹn.
decor quán rất chất và mang lại cảm giác thoải mái.
quán nằm ngay gần khu phố nhật nên khách nước ngoài nhiều.",8
hồi xưa mình mua thấy ngon  bây giờ mua về thịt bên trong bị sống   thái độ phục vụ thì không tốt  đắt hơn chỗ khác 10 ngàn    quan trọng là dỡ quá   hãy tìm chỗ khác tốt hơn   vì chất lượng rất kém   nhiều khi có tiệc mua về hỏng việc hết,1
chiều mát mẻ rảnh rang mò vô tận lò sản xuất xôi chiên luôn  tại chạy qua chỗ cn khác 13 trần khắc chân thì thấy không có gì ở đó cả. không uổng công! mua tận nơi 50/cái  nóng hổi  giòn  nhân thịt bằm nấm mèo với thêm hành phi nữa ngon ngon. quất 4 cái no ự lun oy ^_^.,10
mình rất hay  đặt  sushi ở đây về ăn và món mình thích nhất kỳ vọng nhất là đầu cá hồi nướng. mấy lần trước ăn thật sự rất ngon nên dù cho có xa vẫn kêu giao hàng về nhà bằng được lần này thì không hài lòng. biết là thịt cá hồi ăn tái được thậm chí cả ăn sống nhưng đó là sashimi nhưng còn đầu cá hồi các bạn nướng mà còn sống như vậy quá tanh ai mà ăn nổi. ngoài ra thì các món sushi còn lại vẫn ngon . mong quán khắc phục nhược điểm này và xem kỹ lại đồ ăn trước khi giao đến tay khách hàng tránh những trường hợp đáng tiếc,4
chất lượng 10 điểm tuyệt vời,10
lâu lắm rồi mới trở lại ăn bít tết nam sơn  lý do lớn nhất là tại giá đắt quá  phần thập cẩm mà tới 950 ~~ khoai chiên thì 150. phần thập cẩm ở đây bao gồm bò  pate  phô mai  trứng  xíu mại. hình như không phô mai thì rẻ hơn 5 10 gì ah... bánh mì ở đây giống bánh mì tươi  bò ăn cũng ngon  ướp ổn  có cái đắt quá nên mình không ủng hộ hoài được )) khoai chiên mình nhớ hồi xưa ngon lắm  thời còn nằm ngay marie curie ah  nhớ lúc đó ngon lắm  giờ kiểu ăn như khoai trong thức ăn nhanh :(,4
mình đặt giao hàng qua ăn. bánh canh khá nhiều  có chả  chả cua  càng cua  trứng cút  huyết  giò heo. bánh canh sợi rất to luôn  đồ ăn nhiều  cục giò thì hơi bé nha  chủ yếu toàn da. mà mình không thích nước lèo lẫn sợi bánh canh lắm  cứ bột bột soa ah  nước lèo mặn. nói chung cảm thấy không thích lắm. chắc sẽ không ăn lại.,3
cơm thiu chua  gà dở tệ  mì quảng chua chảy nhớt  tất cả đều dở,1
quán dạng sân vườn nên không gian rộng rãi  đồ ăn khá ngon  giá tương đối cao  phục vụ hơi khó chịu  lên món hơi lâu,4
bình thường  đặt  giao hoài không sao. hôm nay bị đòi tiền ship. lý do trưa nắng quá. rồi sau 2 tiếng mới giao hàng mặc dù cách 30m,1
ngon xuất sắc luôn. nêm nếm rất vừa miệng. mọi thường mình không ăn được dưa chua nhưng ở đây làm nó rất ngon luôn. gà cũng mềm  sốt bơ nhiều. có điều mở cửa hơi muộn nên nhiều lúc muốn ăn phải đợi tới chiều :((,8
phở thơm ngon,10
"hôm đó tui đã lết cái thân lười biếng của mình ra ngoài để thử gà sốt âu  sản phẩm mới của póp pai vì quá tò mò )
bắt đầu từ món ăn kèm: tui thật sự phẫn nộ. khoai tây chiên ngon mà ít quá vậy t.t miếng khoai giòn rụm  thơm  nóng hổi  vị vừa phải không mặn không nhạt chấm với tương cà tương ớt đúng đỉnh luôn
bánh kia ăn hơi kì )) tại tui không hảo ngọt cơ mà khá được.
và cuối cùng xin giới thiệu vedette của ngày hôm nay: gà sốt âu.
lúc đầu mới nhìn tui tưởng gà mắm tỏi thêm mayo ) 
ăn vô rồi mới biết không phải mắm  hỗn hợp màu vàng mặn mặn ngọt ngọt thơm mùi tỏi nhưng hình như mùi tỏi nồng quá nên át hết vị của gia vị khác. gà thì không khô như gà giòn bình thường  rất chút xì ) mọng nước. nhưng vỏ ngoài thì giòn rụm  cắn vo miếng gà nước ngọt của gà bắn vào miệng  ngon lắm luôn. tổng thể khá ổn và lạ )) hợp để đổi gió.
nhưng xin lỗi em lỡ yêu gà wasabi mất rồi 
tổng cộng : 860 combo như trên +1 nước ngọt (refil miễn phí 😍😍😍) 
) vẫn trung thành với póp pai từ ngày biết bạn tới giờ bỏ kfc bỏ lotte.",8
"mình thử được 3 món ở quán này là gà phô mai  cơm trộn và cơm cuộn. cả 3 món đều ngon
ăn tại quán yên tĩnh sạch sẽ  mang về đóng gói sạch sẽ  chu đáo  ghi chú rõ ràng từng thứ luôn. có thêm sự lựa chọn cho những ngày thèm đồ ăn hàn )",10
bữa có ghé vô quán này ăn thử  vị trí từ dương bá trạc rẽ vào hẻm khoảng 500m  hẻm này hơi lòng vòng với lại chui vô đây coi như vô 1 chợ ốc xậu  nhiều quán lắm. quán này khá đông khách. ai ăn gì thì tự lại bốc vỏ ốc bỏ vô dĩa rồi sẽ có người hỏi thấy cũng hay hay. đông nhưng ra món khá nhanh do làm sẵn cũng nhiều. ốc nhiều loài giá khá rẻ từ 20 đến 30 nhưng chắc là ốc không tươi lắm. lâu lâu ghé ăn chơi khá ngon. bực nhứt là giữ xe tính tiền không đáng bao nhiêu nhưng thấy là dị ứng rồi.,6
món ăn rất ngon . hợp khẩu vị,10
lâu rồi mới ăn pizza lại  lục tìm ra thấy cái thẻ thành viên liền tới thử luôn ) về chất lượng thì không phải bàn  mình thấy pizza ở đây là rất ngon lun  ngon hơn tất các pizza mình từng ăn. dù cho bạn có thẻ được giảm giá nhưng chất lượng bánh không hề bị giảm thậm tệ như pizza hut mà vẫn rất ngon nhé  mình cực thích điều này ở quán. hơn nữa  nhân viên ở đây rất chu đáo  nhiệt tình  luôn hỏi han khách cần gì và có hài lòng với món ăn không :3 nói chung rất thích không khí ở đây yêu từ nay về sau muốn ăn pizza là chuyển qua đây ăn luôn cho không lăn tăn :3,10
"hôm qua mưa có ghé quán trú mưa . nhân viên hơi khó chịu vì mình cứ đặt lại :< . không gian đẹp   có nhiều phòng . ở đây tha hồ "" sống ảo "" 😝 . còn nước thì bình thường . ly lớn uống hơi có vị ngán dù là uống 3 người . ly nhỏ thì vị ts nhạt   70% là đá . tạm được",6
"view phía tch hay ngoài đường đều đẹp. không gian ấm cúng  cách trang trí khá đặc biệt.
giá cả hợp lý  được refill bún  rau và nước chấm thoải mái.
nhân viên nhiệt tình.",10
"mình đi 2 người gọi gà hot-baked nửa con và bánh xèo kim chi hải sản. bánh xèo thì khoảng 10' có. còn gà hot-baked đợi tầm 20-25'.
bánh xèo giòn  có vị chua chua của kim chi  hải sản nhiều.
gà hot-baked thì khá lạ nhưng ngon có điều hơi cay tí xíu. 
gía hơi cao  mong cửa hàng có nhiều khuyến mãi để mình ghé thường xuyên hơn...",8
mới cuối tháng 2 tô phở giá 60 nay đã tăng lên thành 70 nha các bạn,1
"mình đi dự tiệc của tập đoàn vinataba tại đây hồi tháng 7 cũng chụp ảnh này nọ nhưng lười up lên quá xả nhận xét nên giờ ngồi up luôn.
không gian: sang trọng vì đây là khách sạn 5 sao  lại nằm ngay trung tâm nữa. mọi thứ đèu bóng loáng.
nhà hàng ở lầu 1  sắp xếp theo tiệc của đám cưới. 
có màn trình diễ bằng vẽ tranh cát ấn tượng nên mình chụp lại.
món ăn (up bằng ipap nên chỉ được 30 tấm  mình sẽ up sau) hấp dẫn  ngon trình bày đẹp. ấn tượng món cải thìa hầm nấm đông cô.
nhân viên lịch sự chuyên nghiệp.",10
mình ăn ở đây vài lần và lần nào cũng là những trải nghiệm tuyệt vời. cá nhân mình thì menu buffet không nhiều lựa chọn lắm  chủ yếu là hải sản. mình là ng thích đồ ngọt nên vẫn nhớ có mấy em choux thiên nga rất đẹp. về menu alacarte thì đa dạng và ngon. có các loại cá và mình đặc biệt thích cá tuyết của the log.,10
nhân viên nhiệt tình lên món nhanh đồ ăn đa dạng muốn ăn gì kêu nhân viên lấy là có không gian rộng rãi thức ăn tươi ngon,10
lại tiếp tục serie đi ăn sinh nhật. hẹn với nhỏ e ở đây  chi nhánh cheese rất quen thuộc luôn  có khi tuần đi 2 lần lận. nằm trên đường lê- thị- riêng- quận 1 nghen  đường nhỏ và 1 chiều  nằm ở góc ngã 3 luôn nhé. nếu quán đang vắng thì sẽ để xe bên bình thườngn  có chú bảo vệ coi  còn nếu quán đông thì bảo vệ hướng dẫn dắt xuống ngã 3 phía dưới ngay tòa nhà gem để gửi xe nhé  lát lúc lấy bill thì nhờ nhân viên đóng dấu trên bill nghen. mình gọi 2 món đang mới lúc đó là bơ sầu và bơ sô  bánh thì mình đem theo  nhân viên cũng không ý kiến gì lắm nên mình cũng thấy thoải mái. phần bơ ở dưới giống nhau nghen  bơ sầu có cục kem sầu riêng  bơ sô là có lớp choco cream và bánh milo. không gian cũng có sức chứa lớn nhưng hơi hẹp và lúc nào cũng đông nên đi nhóm đông thì nên cân nhắc lên xem chỗ ngồi trước nha,8
"bình thường hay ăn sasin thui tại hợp khẩu vị nhất. mà dạo này hay ăn larva tại thấy mới có cn bình thạnh nè. ăn được 2 lần rồi  này là ảnh ăn lần 2  lần 1 mình có nhận xét bên larva phạm văn hai tại lúc đó chưa thấy larva bđằng trên )) cả hai lần ăn thì lần nào cũng gọi mì cay kim chi thịt xúc xích thì như miêu tả là phần này sẽ có xúc xích  jambon  thịt xay  ham tôi được b được ki  cải thảo  bông cải  bắp  nấm kim châm. 
√ lần 1: mình  đặt  tới lúc nhận được đổ ra hơi sốc tại nhiều vãi)))) nhưng rất buồn vì toàn là xúc xích và jambon???? không có mấy cái còn lại như miêu tả nha))) ta nói ăn ngán vãi ra. tại mình chỉ thích ăn xúc xích heo bình thường chứ không thích ăn loại xx này mà quán cho nhiều quá cơ ăn chả được tẹo nào. nhưng bù lại là jambon lạ lạ ngon  nước dùng ngon nè. 
√ lần 2: là lần xịn nhất luôn  đầy đủ như miêu tả ăn 1 mình không hết luôn á))) 2 lần toàn đổ ra nồi ăn thui mới được ))))) 
√ đóng gói cả 2 lần đều xịn lắm nha  nước lèo để riêng đàng hoàng luôn. lần đầu cho kèm cả khăn ướt )) lần 2 thì hết cho nhưng vẫn xịn nè. 
> ổn đó nha  giá thành được so với chất lượng. nhìn giá tưởng đắt tại chỉ có 390 và 490  tô mình 490 lận mà ăn no nguyên ngày))) phải nói là xịn hơn hằn tất cả chỗ mình từng ăn luôn đó  mỗi tội là làm chả cay vừa ý)) mình ăn cay lắm  mấy lần dặn cấp 4 ăn mà chả có vị gì hết ))) mốt dặn cấp 7 hả ta haha))",9
"được người chị giới thiệu quán này bán bún ốc ăn ngon lắm  nên trưa đi ăn thử cho biết
vị trí: quán nằm trong hẻm 150 nguyễn trãi tấp nập qán ăn  nằm gần phía ra lê thị riêng nè  qẹo vô hẻm từ nguyễn trãi thì quán nằm bên trái nhé
không gian: dù qán có 2 lầu nhưng khá nhỏ  bàn rộng trên 6ng thì lên lầu  còn 2-4ng thì ngồi dưới trệt được. quán trang trí bình thường cầu kì  nhìn cũng thoải mái thoáng đãng
món ăn: bún ốc ngon  nước lèo vừa  chua chua  thanh thanh  hòa cùng vị ốc nhẫn nhẫn  thêm miếng rau với ớt cay nữa là bá cháy luôn đó. đặc biệt ở đây có bún chả giò cũng ngon lắm nha  nhân chả giò có cả ốc nữa  nên ăn xậc xậc  ngon lắm nha  vỏ bánh chiên giòn rụm  không nát  ngon lành lắm. 
mấy bạn nhân viên cũng nhẹ nhàng  dễ thương lắm",8
thích hợp với nghỉ dưỡng với gia đình,10
"quán trang
lữ gia q.11

thời điểm: 19/03/16
giá cả: hợp lý

từ đường lữ gia chưa tới đường nguyễn thị nhỏ  quẹo phải vô hẻm 68. quán để bàn ra ngoài lề hẻm luôn nên rất dễ thấy. không gian quán nhỏ  bên trong có mấy bàn thôi  có lầu nữa  mà hình như bây giờ để bàn ra hẻm rồi nên không cần lên lầu kiếm chỗ nữa. ngồi ngoài là bao mát 😆

lúc mình đi là 8h hơn rồi nên hết bánh bèo 😂 thức ăn ở đây hợp với khẩu vị của mình là hơi nhạt nha 😁 món nào cũng nhạt nhạt hết luôn. bánh đập giòn bên ngoài  mềm dai bên trong nhưng hành không vậy mùi thơm lắm. don nóng hổi  nhiều hến và bánh đa. hến khá ngon  không tanh nhưng cũng không có vị gì đặc trưng. nước lèo nhạt  thêm nước mắm thì vừa. ram bắp giòn rùm nhưng ít bắp  chiên cũng đều màu. bún thịt nướng nhiều bún  ít thịt  thịt mỏng mặn vừa phải. rau má nhạt  không ngọt mấy. 😭

mình nghĩ quán sẽ hợp khẩu vị của khách ăn nhạt ❤️",8
